rating,name,review,date,location,usage_duration
1,Skin Body Health,Absolute crap. The biggest waste of time when trying to upload products to the store. I am not about to retype all my product information all over again.,"April 24, 2024",United States,Over 2 years using the app
1,Yūjin,"I have tried to run Tik Tok Shop and there was a bug related to warehouse location, requesting us to change addresses, I have done it and in the middle our account was disabled because of ""suspicious activities"", we are running business on several other marketplaces without any problem. We have provided the information that was requested by email, and our appeal was denied, we have 15 days to provide more information, we have provided exactly what Tik Tok requested. Can someone assist us?","Edited October 28, 2023",United States,About 2 years using the app
1,Retail Perfect,"Same problem with TikTok it never approves your shop, all my documents are valid but it is the same thing over and over. Only app that we have this problem with.","September 12, 2024",United States,About 2 years using the app
1,Xenotees,"If I could give this less than one star, I would. Totally useless and does not do what it says it will without jumping through invisible hoops. What a disappointment. Don't waste your time with this app.","November 25, 2022",United States,About 2 years using the app
1,My Deal Searcher,"Products have been pending for ages, no ability to create a camping outside my region but if I sell products outside my region??? Non-friendly app...","January 26, 2024",Israel,About 2 years using the app
1,Cultured Cloths Apparel &amp; Accessories,Doesn't sync correctly - heavy discounts - set up buyer shipping cost - they give free shipping regardless of your settings. Lost more money than it's worth. Just sold an item listed for$9.99 plus $5 shipping - Tiktok sold for $5.99 and free shipping!!!! wtf are you kidding me - no thanks,"January 24, 2024",United States,About 2 years using the app
1,Lizard Tail Belts,"Bugs in the set up process has made the TikTok shop completely unusable for my store. TikTok help center, support, and support tickets have not been helpful or responsive.","October 6, 2023",United States,Almost 2 years using the app
1,Advancing Aiden,this is only for marketing and won't let me add my tiktok shop so I can't manage my orders in one place.,"August 19, 2023",United States,Almost 2 years using the app
1,Posh Pet Glamour Boutique,I would give 0 stars if I could. It caused a tik tok javascript pixel sandbox error on my site that I cannot for the life of me get rid of. Tik tok is ABSOLUTELY NO HELP. They dont care at all. I have contacted every department possible and NO ONE will help. Terrible customer service- Do yourself a favor and avoid this app - worst mistake I ever made,"Edited January 15, 2024",United States,Almost 2 years using the app
1,Waterfront News,"Appalling. Am being charged for ads that aren't running and when I try to access support - have tried repeatedly - I'm told I don't have access and need to verify my account.

My account was already verified, which is how I was able to pay TikTok money.

Continue to be locked out of account, and when I email the address below, I'm told to raise a ticket with support - WHICH I CAN'T AS I'M LOCKED OUT!!!

Can someone PLEASE get in touch and assist me.","March 2, 2024",Australia,Almost 2 years using the app
1,Amour Propre®,I'm constantly being charged for advertising on not doing. There's No customer service.,"January 1, 2024",United States,Almost 2 years using the app
1,Allmartdeal,worst sales channel i ever tried so far. useless and please be careful sharing your data with them. they will drive your store to hell. scripts will make your site super slow. try elsewhere for better service,"July 10, 2024",United States,Over 1 year using the app
1,Essential Diamonds Co,It's extremely frustrating to have your products disapproved for information that's clearly inputted within the shopify platform. Reaching out to customer service is a joke. I reached out for assisted over a month ago and they seemed to just pass me off from one person to another - neither of which solved or even addressed my issues. I was very hopeful for this integration but nope.,"December 4, 2023",United States,Over 1 year using the app
1,Kafetos,very hard to synchronize the inventory. We had tried many times with different options and no luck.,"November 14, 2023",United States,Over 1 year using the app
1,Glowy Zoey,I've got the same issue that so many do. TikTok store suspended with no reason given and no reply to support ticket. Been in business 8 years and are verified on Facebook and instagram with no issues. TikTok has been a huge pain to deal with. I also didn't get ad credits promised long ago. I wouldn't bother until they get their act together.,"October 6, 2022",United States,Over 1 year using the app
1,Marie Sharp&#39;s Company Store,"Dec 2023 UPDATE: Our account is now PERMAMENTLY DISABLED - due to lack of activity!!!

What a joke it is to try to advertise legitimate products on this platform!

October 2023 - Incredibly difficult and frustrating app. Very difficult to setup, practically impossible to get support, when you go to create a ticket, you are told you don't have access to your own account to create the ticket?

We wasted $500 to get an ad credit and got ZERO conversions. I would not waste your time on this app or on TikTok advertising.","Edited December 27, 2023",United States,Over 1 year using the app
1,Sock Panda,"** Updated*** Made another attempt over a year later - still a terrible experience. . Got my money back, but this is just a bad company (original) I was hesitant to do this and I should have gone with my instincts. I created an account linked to my store and put money on my account. Shortly after the store was suspended (Sock Panda) and no reason has been given, They keep saying they will keep the money too. We will see about that! However - beware of disgusting behavior by sleezy interests. Made another attempt over a year later - still a terrible experience. . Got my money back, but this is just a bad company","Edited October 5, 2022",United States,Over 1 year using the app
1,CALI Strong,"I am a little puzzled by the reviews here. My experience has been a nightmare. For two weeks I have been trying to get my store verified. No response from TikTok Seller Help Center in 16 days. Only automated cut-and-paste responses from their Feedback Form which don't address the issue. I can't get a useful human response no matter how I try. TikTok sounds great from all the reviews, but I can't get support at all to get it started.","October 2, 2023",United States,About 1 year using the app
1,I&#39;ll Use That,"Horrible experience. Connecting products and having them link to TikTok shop is such a pain. You have to re categorize every products, they don't accept certain shipment providers. It is just a mess. Not worth it to sell through there or advertise my products. Very disappointed. Discontinues my products even though they are listed in the category they suggest.","February 6, 2024",United States,About 1 year using the app
1,apop // apoptosisnyc.com,"zero help, doesnt work","October 2, 2023",United States,About 1 year using the app
